Recipe,Spirits1,Spirits1c,Spirits1am,S1al,Spirits2,Spirits2c,Spirits2am,S2al,Spirits3,Spirits3c,Spirits3am,S3al,Lime Juice,Lime Juicec,Lime Juiceam,Juice1,Juice1c,Juice1am,J1sw,Juice2,Juice2c,Juice2am,J2sw,Syrup1,Syrup1c,Syrup1am,S1sw,Syrup2,Syrup2c,Syrup2am,S2sw,Bitter1,Bitter1c,Bitter1am,Bitter2,Bitter2c,Bitter2am,Other1,Other1c,O1sw,Other1am,Other2,Other2c,Other2am,O2sw,Other3,Other3c,Other3am,Liqueur 1,Liqueur 1c,Liqueur 1am,L1sw,L1al,Liqueur 2,Liqueur 2c,Liqueur 2am,L2sw,L2al,Liqueur 3,Liqueur 3c,Liqueur 3am,L3sw,L3al,Ice,Operation,OPindex,Decoration,Amount,Sour,Alcohol,Bitter,Glass,Flavor1,Flavor2,Flavor3,Flavor4,Flavor5
Negroni,Gin,ffffe6,30,0.47,,,0,0,,,0,0,Lime Juice,,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,,,0,,,0,0,,,0,0,,,0,Sweet Vermouth,c73a4a,30,0.15,0.15,Campari,c73a4a,30,0.03,0.24,,,0,0,0,Rock,Stir,0.75,Orange Roll,90,0.06,0.215,0.016666667,Rocks-Glass,Herb,Orange,n,n,n
Boulevardier,Bourbon Whiskey,54241f,30,0.45,,,0,0,,,0,0,Lime Juice,,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,,,0,,,0,0,,,0,0,,,0,Campari,c73a4a,30,0.03,0.24,Sweet Vermouth,c73a4a,30,0.15,0.15,,,0,0,0,Regular,Stir,0.75,,90,0.06,0.21,0.016666667,Martini-Glass,Orange,Herb,n,n,n
Sazerac(I),Brandy,54241f,60,0.4,,,0,0,,,0,0,Lime Juice,,0,,,0,0,,,0,0,Simple Syrup,ffffe6,5,0.6,,,0,0,Angostura Aromatic Bitters,54241f,0.93,,,0,,,0,0,,,0,0,,,0,Absinthe,edfd9,5,0,0.65,,,0,0,0,,,0,0,0,Regular,Stir,0.75,Lemon Roll,70.93,0.042295221,0.288136191,0.01663612,Rocks-Glass,Herb,n,n,n,n
Sazerac(II),Rye Whiskey,54241f,60,0.45,,,0,0,,,0,0,Lime Juice,,0,,,0,0,,,0,0,Simple Syrup,ffffe6,4.93,0.6,,,0,0,Angostura Aromatic Bitters,54241f,0.93,,,0,,,0,0,,,0,0,,,0,Absinthe,edfd9,4.93,0,0.65,,,0,0,0,,,0,0,0,Regular,Stir,0.75,Lemon Roll,70.79,0.041785563,0.320008123,0.016619579,Rocks-Glass,Herb,n,n,n,n
De La Louisiane,Rye Whiskey,54241f,22,0.45,,,0,0,,,0,0,Lime Juice,,0,,,0,0,,,0,0,,,0,0,,,0,0,Angostura Orange Bitters,ed9d6c,0.93,,,0,,,0,0,,,0,0,,,0,Sweet Vermouth,c73a4a,22,0.15,0.15,Benedictine,420808,22,0.227,0.769,Absinthe,edfd98,0.93,0,0.65,Regular,Stir,0.75,Maraschino cherry,67.86,0.122222222,0.339550177,0.015075155,Martini-Glass,Herb,n,n,n,n
Old Pal,Rye Whiskey,54241f,30,0.45,,,0,0,,,0,0,Lime Juice,,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,,,0,,,0,0,,,0,0,,,0,Campari,c73a4a,22,0.03,0.24,Sweet Vermouth,c73a4a,22,0.15,0.15,,,0,0,0,Regular,Stir,0.75,Orange Roll,74,0.053513514,0.223783784,0.014864865,Rocks-Glass,Orange,Herb,n,n,n
Pegu,Gin,ffffe6,60,0.47,,,0,0,,,0,0,Lime Juice,f7ffd1,15,,,0,0,,,0,0,,,0,0,,,0,0,Angostura Orange Bitters,ed9d6c,0.62,Angostura Aromatic Bitters,54241f,0.62,,,0,0,,,0,0,,,0,Grand Marnier,ffffe6,22,0.2,0.4,,,0,0,0,,,0,0,0,Regular,Stir,0.75,Lemon Roll,98.24,-0.107899023,0.282471498,0.01262215,Martini-Glass,Orange,n,n,n,n
Rosita,Tequila,edffef,45,0.4,,,0,0,,,0,0,Lime Juice,,0,,,0,0,,,0,0,,,0,0,,,0,0,Angostura Aromatic Bitters,54241f,0.31,,,0,,,0,0,,,0,0,,,0,Dry Vermouth,ffffff,15,0.04,0.18,Sweet Vermouth,c73a4a,15,0.15,0.15,Campari,c73a4a,15,0.03,0.24,Regular,Shake,0.5,Orange Roll,90.31,0.036540804,0.146993688,0.011737349,Martini-Glass,Orange,Herb,n,n,n
Vieux Carre,Rye Whiskey,54241f,25,0.45,Brandy,54241f,25,0.4,,,0,0,Lime Juice,,0,,,0,0,,,0,0,,,0,0,,,0,0,Angostura Aromatic Bitters,54241f,0.93,,,0,,,0,0,,,0,0,,,0,Sweet Vermouth,c73a4a,25,0.15,0.15,Benedictine,420808,5,0.227,0.769,,,0,0,0,Rock,Stir,0.75,Lemon Roll/Orange Roll,80.93,0.060360806,0.267314346,0.011491412,Rocks-Glass,Herb,n,n,n,n
Metropole,Brandy,54241f,45,0.4,,,0,0,,,0,0,Lime Juice,,0,,,0,0,,,0,0,,,0,0,,,0,0,Angostura Aromatic Bitters,54241f,0.31,Angostura Orange Bitters,ed9d6c,0.62,,,0,0,,,0,0,,,0,Dry Vermouth,ffffff,45,0.04,0.18,,,0,0,0,,,0,0,0,Regular,Stir,0.75,Maraschino cherry,90.93,0.019795447,0.215275487,0.010227648,Martini-Glass,Herb,n,n,n,n
Jasmine,Gin,ffffe6,45,0.47,,,0,0,,,0,0,Lime Juice,f7ffd1,15,,,0,0,,,0,0,,,0,0,,,0,0,,,0,,,0,,,0,0,,,0,0,,,0,Campari,c73a4a,22,0.03,0.24,Cointreau,f5f5f5,30,0.2,0.4,,,0,0,0,Regular,Stir,0.75,Lemon Roll,112,-0.074464286,0.25734375,0.009821429,Martini-Glass,Orange,n,n,n,n
